Event	ID	Name			Wwise Object Path	Notes
	363049873	Play_c_magpie_voc_cry			\Default Work Unit\character\magpie\Play_c_magpie_voc_cry	
	1116472709	Play_c_evil_pelican_voc_cry			\Default Work Unit\character\evil_pelican\Play_c_evil_pelican_voc_cry	
	1250480657	Play_obj_map_open			\Default Work Unit\object\Play_obj_map_open	
	1917241241	Play_c_magpie_voc_idle			\Default Work Unit\character\magpie\Play_c_magpie_voc_idle	
	2255457607	Play_amb_wind			\Default Work Unit\amb\Play_amb_wind	
	2378372469	Play_obj_ship_wheel_stop			\Default Work Unit\object\Play_obj_ship_wheel_stop	
	2578765554	Play_snd_test			\Default Work Unit\Play_snd_test	
	2632141450	Play_c_player_fol_grab			\Default Work Unit\character\player\Play_c_player_fol_grab	
	2738151287	Play_mus_main_theme			\Default Work Unit\music\Play_mus_main_theme	
	2837402735	Play_obj_ship_wheel_start			\Default Work Unit\object\Play_obj_ship_wheel_start	
	3329988455	Play_obj_map_close			\Default Work Unit\object\Play_obj_map_close	
	3508922530	Play_amb_sail			\Default Work Unit\amb\Play_amb_sail	
	3578043392	Play_amb_ship_wood_creak			\Default Work Unit\amb\Play_amb_ship_wood_creak	

Switch Group	ID	Name			Wwise Object Path	Notes
	2137642026	wind_region			\Default Work Unit\wind_region	

Switch	ID	Name	Switch Group			Notes
	1935470627	light	wind_region			
	2849147824	medium	wind_region			
	3522403288	strong	wind_region			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	25372902	amb_wind_base_long	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\amb\wind\amb_wind_base_long_F48D3EE1.wem		\Actor-Mixer Hierarchy\ambience\amb_wind\amb_wind\amb_wind_02\amb_wind_light\amb_wind_light_long\amb_wind_base_long		95893
	35546395	object_ship_wheel_squeak_start_01	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\object\object_ship_wheel_squeak_start_01_5DB21414.wem		\Actor-Mixer Hierarchy\object\obj_ship_wheel\obj_ship_wheel\obj_ship_wheel_start\obj_ship_wheel_squeak_start\object_ship_wheel_squeak_start_01		5515
	55256953	object_ship_wheel_loop_high_01	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\object\object_ship_wheel_loop_high_01_D1B2D50E.wem		\Actor-Mixer Hierarchy\object\obj_ship_wheel\obj_ship_wheel\obj_ship_wheel_start\obj_ship_wheel_loop_high\object_ship_wheel_loop_high_01		11455
	80901641	amb_wood_creak_01	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\amb\ship_wood\amb_wood_creak_01_5390CE44.wem		\Actor-Mixer Hierarchy\ambience\amb_ship_wood\amb_ship_wood\amb_ship_wood_creak\amb_ship_wood_creak_left\amb_wood_creak_01		38730
	81552751	object_ship_wheel_squeak_stop_03	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\object\object_ship_wheel_squeak_stop_03_9255C62D.wem		\Actor-Mixer Hierarchy\object\obj_ship_wheel\obj_ship_wheel\obj_ship_wheel_stop\obj_ship_wheel_squeak_stop\object_ship_wheel_squeak_stop_03		5068
	83040302	player_fol_grab_01	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\character\player\player_fol_grab_01_6296B0F9.wem		\Actor-Mixer Hierarchy\character\c_player\c_player\c_player_fol_grab\player_fol_grab_01		4492
	90255560	amb_wind_base_long_02	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\amb\wind\amb_wind_base_long_31FB9C7B.wem		\Actor-Mixer Hierarchy\ambience\amb_wind\amb_wind\amb_wind_02\amb_wind_light\amb_wind_light_long\amb_wind_base_long_02		82085
	96764349	c_magpie_voc_idle_01	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\character\magpie\c_magpie_voc_idle_011_6296B0F9.wem		\Actor-Mixer Hierarchy\character\c_magpie\c_magpie\c_magpie_voc\c_magpie_voc_idle\c_magpie_voc_idle\c_magpie_voc_idle_01		9216
	106915672	snd_test	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\crush_box_004_69BE6C6D.wem		\Actor-Mixer Hierarchy\Default Work Unit\snd_test		8698
	107269154	c_magpie_voc_screech_04	C:\Users\Leon\Perforce\stlearnd_cloud_laptop\CloudSailing\CloudSailing_WwiseProject\.cache\Windows\SFX\character\magpie\c_magpie_voc_screech_04_6296B0F9.wem		\Actor-Mixer Hierarchy\character\c_magpie\c_magpie\c_magpie_voc\c_magpie_voc_cry\c_magpie_voc_screech\c_magpie_voc_screech_04		6955
